smiles id prediction adm pass/fail
O=C(Nc1cccnc1)Nc1cccc(Cl)c1 WAR-XCH-eb7b662f-7 3 2 pass
CS(=O)(=O)NCCc1cccnc1 ANT-DIA-b7f58f21-1 3 2 pass
CS(=O)(=O)NCCc1cccc(O)c1 ANT-DIA-b7f58f21-2 3 2 pass
CS(=O)(=O)NCCc1ccccc1O ANT-DIA-b7f58f21-3 3 2 pass
CC(=O)NCCc1ccccc1 ANT-DIA-b7f58f21-4 3 4 pass
CS(=O)(=O)NCCc1cscn1 ANT-DIA-b7f58f21-5 3 1 fail
CS(=O)(=O)NCCc1ccc2nc(N)sc2c1 ANT-DIA-b7f58f21-6 3 2 pass
CS(=O)(=O)NCCc1ccc2ncsc2c1 ANT-DIA-b7f58f21-7 3 2 pass
CCNc1ccc(C#N)cc1CCNS(C)(=O)=O ANT-DIA-b7f58f21-8 NA 2 fail
CS(=O)(=O)NCCc1cc(C#N)ccc1NC(=O)N1CCOCC1 ANT-DIA-b7f58f21-9 3 2 pass
CCNc1ncc(C#N)cc1CC(=O)Nc1cnccc1C TRY-UNI-1fd04853-1 3 2 pass
CCNc1ncc(C#N)cc1NC(=O)Nc1cnccc1C TRY-UNI-1fd04853-2 3 2 pass
Cc1ccncc1NC(=O)Nc1cc(C#N)cnc1CCNS(C)(=O)=O TRY-UNI-1fd04853-3 NA 2 fail
NS(=O)(=O)c1ccc2scc(CN3CCC(O)CC3)c2c1 TRY-UNI-1fd04853-4 4 1 pass
O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1 TRY-UNI-1fd04853-5 3 2 pass
N#Cc1cccc(CNC(=O)Cc2c[nH]c3ncccc23)c1 TRY-UNI-1fd04853-6 3 2 pass
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1 TRY-UNI-1fd04853-7 3 2 pass
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1 TRY-UNI-1fd04853-8 3 2 pass
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1 TRY-UNI-1fd04853-9 2 2 fail
N#Cc1ccnc(CNC(=O)Cc2c[nH]c3ncccc23)c1 TRY-UNI-1fd04853-10 3 2 pass
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1 TRY-UNI-1fd04853-11 3 2 pass
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1 TRY-UNI-1fd04853-12 3 2 pass
CS(=O)(=O)NCCc1cc(C#N)ccc1CNC(=O)N1CCCCC1 PET-SGC-0ecb2cfe-1 3 2 pass
O=C(C(=O)N1CCN(C(=O)c2cccc(F)c2)CC1)c1c[nH]c2cnccc12 CAR-INS-33b3c115-1 3 2 pass
O=C(C(=O)N1CCN(C(=O)c2cccc(Cl)c2)CC1)c1c[nH]c2cnccc12 CAR-INS-33b3c115-2 3 2 pass
O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2cnccc12 CAR-INS-33b3c115-3 3 2 pass
COc1cncc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12 CAR-INS-33b3c115-4 3 2 pass
CCNc1ccc(C#N)cc1CCNS(C)(=O)=O ROB-UNI-b2e39629-1 NA 2 fail
CS(=O)(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12 ROB-UNI-b2e39629-2 3 2 pass
CCn1cc(CCNS(C)(=O)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21 ROB-UNI-b2e39629-3 3 2 pass
CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12 ROB-UNI-b2e39629-4 3 2 pass
CCn1cc(CCNC(C)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21 ROB-UNI-b2e39629-5 3 2 pass
CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(Cl)cc12 ROB-UNI-b2e39629-6 3 2 pass
CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(C#N)cc12 ROB-UNI-b2e39629-7 3 2 pass
CCn1cc(CCNC(C)=O)c2cc(C#N)cc(C(C)NC(C)=O)c21 ROB-UNI-b2e39629-8 3 2 pass
CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(Cl)cc12 ROB-UNI-b2e39629-9 3 2 pass
